white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
anscariusbarcino,The_Ingenious,1491,1683,0-1,French Defense #2,C00,https://lichess.org/3yQEyThc,60+0,Normal
mao64,karun0109,1849,1798,0-1,Queen's Pawn Game,D00,https://lichess.org/Qo7oHwr2,180+0,Normal
julian21olarte,rahem,1655,1628,1-0,Russian Game: Millennium Attack,C42,https://lichess.org/whyfGq2V,900+0,Normal
Berggeist,Den-Den-2013,1860,1675,0-1,Three Knights Opening,C46,https://lichess.org/cFvyO0lI,240+0,Time forfeit
teaandtoast,achimari,1483,1528,1-0,Modern Defense,A40,https://lichess.org/8OljsvoX,0+10,Time forfeit
karalyte,Mijo30,1491,1352,1-0,Queen's Gambit Accepted: Old Variation,D20,https://lichess.org/r7tEMGBR,120+0,Normal
mcbublick,zuthanatos,1629,1400,1-0,Sicilian Defense: Bowdler Attack,B20,https://lichess.org/qn7zuwKs,600+0,Time forfeit
kvc123,kbbx,1588,1529,0-1,Modern Defense,B06,https://lichess.org/SWcAy602,300+0,Normal
ves,mm2013marko,1758,1557,1-0,Queen's Gambit Declined,D30,https://lichess.org/L6RUI3XZ,60+0,Normal
FilthyBishop,IaGueTe,1856,1958,1-0,Queen's Gambit Declined: Orthodox Defense,D60,https://lichess.org/vFDI0jM6,600+15,Normal
chironik,ruka5,1478,1761,0-1,Old Benoni Defense,A43,https://lichess.org/AaylMahU,30+1,Normal
chessbona,artsys,1899,1895,0-1,Sicilian Defense: McDonnell Attack,B21,https://lichess.org/Yg8UgauW,180+0,Normal
aexl,verbie3,1812,1784,0-1,Caro-Kann Defense: Classical Variation,B18,https://lichess.org/JDEQQml8,300+0,Normal
elvin009,Timao,1786,1969,0-1,French Defense: Knight Variation,C00,https://lichess.org/cH7KNtgN,480+0,Time forfeit
AnonimoRD,chess_killer,1631,1986,0-1,Bishop's Opening: Berlin Defense,C24,https://lichess.org/f7LUiIrF,300+0,Normal
sgmsg,czento53,1681,2075,0-1,Bird Opening: Dutch Variation,A03,https://lichess.org/qkXXCkAn,60+0,Time forfeit
cotale,Xtravia9,1492,1893,0-1,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/psgCFxGM,300+3,Normal
velnael,D21,1722,1756,1-0,Hungarian Opening,A00,https://lichess.org/tzgY2XcD,180+0,Normal
jacktheripper75,Sergey_Rostov,1596,1589,0-1,Nimzo-Larsen Attack: Modern Variation #4,A01,https://lichess.org/JCB086Wj,300+0,Normal
Leoliterario,CHESSMS,1568,1502,1-0,Old Indian Defense,A53,https://lichess.org/VmVxXkKP,480+5,Normal
lukis12,ivancapote,1870,1742,1-0,Sicilian Defense: Loewenthal Variation,B32,https://lichess.org/hpYNCVFI,480+0,Normal
luitek7,PascalBrutal,1961,1802,0-1,Sicilian Defense: Snyder Variation,B20,https://lichess.org/vO11NDxN,180+0,Time forfeit
V7V7V7,cirrus105,1729,1734,1-0,Russian Game: Modern Attack,C43,https://lichess.org/GC0AuzOb,300+0,Normal
SNV,kamspol,1807,1542,1-0,Indian Game: London System,A46,https://lichess.org/yoORaHfu,30+0,Normal
GuerreroMexica,kora,1495,1376,0-1,"King's Gambit, Falkbeer Countergambit, Staunton Line",C31,https://lichess.org/MQSfR4Rw,120+0,Normal
westicide,cm2,1472,1511,1-0,Center Game #2,C21,https://lichess.org/R6x3zdgR,480+5,Normal
Jordisa,Kaspachov,1837,1852,1-0,"Ruy Lopez: Classical Variation, Central Variation",C64,https://lichess.org/PjsDIsIM,360+10,Normal
dctrip13,Thor401025,1798,1697,1-0,Sicilian Defense: Buecker Variation,B27,https://lichess.org/EQRIZqEJ,1800+0,Normal
cefisidoro,Aseric,1606,1330,1-0,Scotch Game,C44,https://lichess.org/Hl9uINB2,180+5,Normal
philidov,hichamsbitri,1496,1304,1-0,Ruy Lopez: Bird Variation,C61,https://lichess.org/HWKdZcXX,300+0,Normal
