white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination,white_country,white_title,white_preferred_game,white_peak_bullet,white_peak_blitz,white_peak_rapid,white_peak_classical,white_total_wins,white_total_draws,white_total_losses,black_country,black_title,black_preferred_game,black_peak_bullet,black_peak_blitz,black_peak_rapid,black_peak_classical,black_total_wins,black_total_draws,black_total_losses
leo5t,Matheusll,1510,1410,1-0,Sicilian Defense: Old Sicilian,B30,https://lichess.org/SN9vygxi,180+2,Normal,,,blitz,1487.0,1527.0,,,6726,408,7293,,,blitz,,,,,987,39,1573
MASTERoftheUNIVERSE,miguelcarias,1913,1725,1-0,Slav Defense: Schlechter Variation,D15,https://lichess.org/ko8bFofN,180+0,Time forfeit,,,blitz,,,,,3905,298,2687,,,blitz,,,,,1896,187,2002
StockfishLevel1,UOMORAGNO1,1476,1850,0-1,"French Defense: Advance Variation, Paulsen Attack",C02,https://lichess.org/bNkrxRGc,600+0,Normal,,,puzzle,,,,,2553,178,4326,,,bullet,,,,,9893,966,11946
Backchess23,fabarod,1692,1602,0-1,King's Pawn Game: Busch-Gass Gambit,C40,https://lichess.org/UMqXwDbr,300+8,Normal,,,rapid,,,1781.0,,2709,275,2939,,,bullet,1875.0,1762.0,,,14550,674,12280
davematthews,TheBifurcator,1551,1705,1-0,Scandinavian Defense: Mieses-Kotroc Variation,B01,https://lichess.org/WMCTbmU5,3600+5,Normal,,,rapid,,1185.0,,,1501,172,2312,,,classical,,,,1466.0,7719,2259,13922
EmmanuellMiq,quocvietcva,1834,1765,0-1,"King's Indian Defense: Normal Variation, Rare Defenses",E90,https://lichess.org/VSM2ZSCX,180+1,Normal,,,blitz,,,,,2245,144,2246,,,blitz,,,,,1449,96,1450
Vax,Riccardoscacchi,1862,1695,1-0,Duras Gambit,B00,https://lichess.org/RORsWazc,900+0,Normal,,,rapid,,,,,8261,573,6471,,,rapid,,,,,2273,153,2616
mossall,LYDHER,1692,1946,0-1,Bird Opening: Dutch Variation,A03,https://lichess.org/Ybiv3F0K,300+8,Normal,,,rapid,,1408.0,,,12436,583,8475,,,blitz,,,,,1598,184,1510
joshua131313,artas123,1586,1884,0-1,Indian Game,A45,https://lichess.org/8oyZqAYK,1800+0,Normal,,,crazyhouse,,,1551.0,,1578,52,1493,,,puzzle,,,,,11229,514,2754
FairyGirl83,laulau_ramones,1500,1545,0-1,Queen's Pawn Game,D00,https://lichess.org/rcaBkUfc,-,Normal,,,rapid,,,,,18,5,120,,,puzzle,,,,,88,2,141
