white,black,white_elo,black_elo,result,opening,eco,site,time_control,termination
TenderHeartPirate,Adeo,1287,1325,0-1,King's Knight Opening: Normal Variation,C44,https://lichess.org/mGZAUg6c,600+0,Normal
Sullen,angharradwilson,1359,1433,1-0,Horwitz Defense,A40,https://lichess.org/6EHw5jXV,60+0,Time forfeit
santanabrown,marceloduchamp,1557,1213,1-0,French Defense: Advance Variation #3,C02,https://lichess.org/P4QZJd8D,600+0,Time forfeit
reize,captainjack,1267,1296,1-0,Duras Gambit,B00,https://lichess.org/KCgtMOAY,900+0,Normal
fay,steve20042014,1309,1355,0-1,"Queen's Gambit Accepted: Normal Variation, Traditional System",D26,https://lichess.org/f8G6AodH,300+0,Time forfeit
Trimen1000,ReNero,1550,1194,1-0,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",C57,https://lichess.org/phwJViZi,600+0,Normal
fernandoar,chxeo,1184,1220,1-0,Sicilian Defense: Closed Variation,B23,https://lichess.org/CICNxG5b,540+11,Normal
ewing11,awing89,1473,1326,0-1,Indian Game,A45,https://lichess.org/UfI2KXpR,900+0,Normal
wheels,qarlss,1049,1420,0-1,Sicilian Defense: Brick Variation,B20,https://lichess.org/ezWt3BSr,420+0,Normal
vedatsahin52,shoynkhor,1252,1500,1-0,King's Pawn Opening: 2.b3,C20,https://lichess.org/3udO5vPo,600+0,Normal
BlackThrash,talgo,1254,1374,1-0,King's Pawn Game: Leonardis Variation,C20,https://lichess.org/hKMzaH7B,900+10,Normal
kingofbankbanking,Alievich,1245,1319,1-0,Petrov's Defense #2,C42,https://lichess.org/3XRMjyZo,900+25,Time forfeit
brochess,Gas13,1335,1366,0-1,Rat Defense: Small Center Defense,C00,https://lichess.org/EZrXUNcV,420+0,Normal
Helmif92,RamHammer,1492,1169,1-0,French Defense: Knight Variation,C00,https://lichess.org/v4samIUo,300+0,Time forfeit
Mobil--1,henkop,1108,1485,0-1,Pirc Defense #4,B07,https://lichess.org/IOe35fw1,300+0,Time forfeit
